Country,Year,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People
Canada,1990,14.9,7.3,1.77,80.4,73.89,77.06560976,1.783590046,27379000,345178.0,1.264765577
Sao Tome and Principe,1990,37.61,9.94,5.501,63.484,59.814,61.6042439,2.430584779,114647,0.0,0.0
Lao PDR,1990,43.123,13.833,6.222,54.603,52.205,53.3747561,2.900339597,4122737,0.0,0.0
Arab World,1990,35.42027348,8.065046448,5.243884382,66.0016112,62.32902155,64.11452277,2.615088541,213911862,58750.0,0.028727652
Latin America & Caribbean (all income levels),1990,27.12112793,6.882979456,3.290523131,71.28721204,64.79340605,67.95864168,1.915482155,435978489,30971.0,0.007224164
Cambodia,1990,43.945,12.392,5.792,57.079,51.886,54.41917073,2.984651459,8768664,0.0,0.0
Ethiopia,1990,47.814,18.605,7.298,47.976,45.145,46.52597561,3.325257981,46435325,0.0,0.0
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Sri Lanka,1990,21.107,6.459,2.544,73.09,66.148,69.53434146,1.352342295,16825000,0.0,0.0
Swaziland,1990,44.467,9.8,5.905,60.843,57.574,59.16863415,3.968016862,833787,0.0,0.0
South Asia,1990,32.80471784,10.67429625,4.260164695,58.98607592,58.27066117,58.61825992,2.239257733,1110478370,0.0,0.0
Argentina,1990,21.886,8.318,3.016,74.969,67.879,71.33753659,1.431566594,32170407,2300.0,0.007149428
Bolivia,1990,36.867,10.775,4.952,59.986,56.537,58.21943902,2.351157744,6635658,0.0,0.0
"Bahamas, The",1990,24.037,5.502,2.654,73.964,67.099,70.44778049,1.713133149,251863,0.0,0.0
Burkina Faso,1990,47.574,17.041,7.036,50.559,48.335,49.41987805,2.639705361,8579825,0.0,0.0
Bahrain,1990,30.158,3.466,3.872,73.485,71.187,72.30797561,3.357895182,481142,4251.0,0.883522952
Saudi Arabia,1990,36.676,5.308,6.004,70.432,67.071,68.7105122,3.622424046,15665086,190605.3333,13.51459005
Middle East & North Africa (all income levels),1990,34.2246497,7.440742089,5.032103194,67.37674051,62.94968581,65.1038258,2.705728586,245765907,58750.0,0.02607829
Guatemala,1990,39.365,8.965,5.636,64.596,58.951,61.70465854,2.289365412,8688240,0.0,0.0
Guinea,1990,46.661,17.601,6.608,50.22,48.186,49.17819512,3.809217666,5750861,0.0,0.0
World,1990,26.07460996,9.171133957,3.345220899,67.74519153,63.39174488,65.51618656,1.73301374,5189529479,7353071.0,0.141735301
St. Lucia,1990,29.037,6.227,3.495,73.514,68.49,70.94073171,1.797544374,135954,0.0,0.0
"Congo, Rep.",1990,38.527,12.06,5.421,57.309,54.051,55.64026829,2.695045029,2320488,0.0,0.0
