serial_number,name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,detection_value
1,47 Ursae Majoris c,45,5.03352,Gas Giant,2001,0.54,Jupiter,1.27,Jupiter,3.6,6.6,0.1,Radial Velocity,1
2,HD 114783 b,69,7.56,Gas Giant,2001,1.1,Jupiter,1.23,Jupiter,1.16,1.351677,0.14,Radial Velocity,1
3,HD 142 b,85,5.7,Gas Giant,2001,1.24444,Jupiter,1.22,Jupiter,1.038376,0.9620808,0.16,Radial Velocity,1
4,HD 178911 B b,134,7.97,Gas Giant,2001,8.03,Jupiter,1.12,Jupiter,0.34,0.19575633,0.11,Radial Velocity,1
5,HD 213240 b,133,6.81,Gas Giant,2001,5.58,Jupiter,1.14,Jupiter,1.89,2.4,0.42,Radial Velocity,1
6,HD 23079 b,109,7.12,Gas Giant,2001,2.61,Jupiter,1.18,Jupiter,1.6,2,0.1,Radial Velocity,1
7,xO-1 b,128,7.8,Gas Giant,2001,5.83181,Jupiter,1.14,Jupiter,1.034659,1.0554415,0.05,Radial Velocity,1
8,HD 39091 b,60,5.65,Gas Giant,2001,12.23926,Jupiter,1.1,Jupiter,3.309065,5.7,0.64,Radial Velocity,1
9,HD 4203 b,265,8.7,Gas Giant,2001,2.23,Jupiter,1.19,Jupiter,1.17,1.1824777,0.52,Radial Velocity,1
10,HD 4208 b,112,7.783,Gas Giant,2001,0.81,Jupiter,1.24,Jupiter,1.662,2.3,0.04,Radial Velocity,1
11,HD 68988 b,198,8.2,Gas Giant,2001,1.97,Jupiter,1.2,Jupiter,0.07,0.017248461,0.12,Radial Velocity,1
12,HD 80606 b,217,9.06,Gas Giant,2001,4.38,Jupiter,1.07,Jupiter,0.4565,0.30499658,0.93,Radial Velocity,1
1,HD 37124 c,103,7.68,Gas Giant,2002,0.652,Jupiter,1.25,Jupiter,1.71,2.4,0.13,Radial Velocity,1
2,HD 40979 b,111,6.75512,Gas Giant,2002,4.67,Jupiter,1.15,Jupiter,0.85,0.7230664,0.25,Radial Velocity,1
3,HD 47536 b,400,5.25,Gas Giant,2002,7.32,Jupiter,1.13,Jupiter,1.93,2,0.2,Radial Velocity,1
4,HD 49674 b,140,8.1,Neptune-like,2002,31.783,Earth,0.553,Jupiter,0.06,0.013415469,0.09,Radial Velocity,1
5,HD 50554 b,102,6.8561,Gas Giant,2002,4.954,Jupiter,1.15,Jupiter,2.353,3.5,0.5,Radial Velocity,1
6,HD 72659 b,169,7.46,Gas Giant,2002,3.37143,Jupiter,1.17,Jupiter,4.689125,9.7,0.26,Radial Velocity,1
7,HD 73526 b,317,8.99,Gas Giant,2002,3.08,Jupiter,1.17,Jupiter,0.65,0.5155373,0.19,Radial Velocity,1
8,HD 76700 b,199,8.16,Gas Giant,2002,0.21,Jupiter,0.856,Jupiter,0.05,0.010951404,0.09,Radial Velocity,1
9,HD 83443 b,133,8.23,Gas Giant,2002,0.402,Jupiter,1.25,Jupiter,0.0406,0.008213553,0.01,Radial Velocity,1
10,HD 8574 b,146,7.12,Gas Giant,2002,2.03,Jupiter,1.19,Jupiter,0.76,0.62149215,0.3,Radial Velocity,1
11,Iota Draconis b,102,3.29668,Gas Giant,2002,11.82,Jupiter,1.1,Jupiter,1.453,1.4,0.7,Radial Velocity,1
12,OGLE-TR-56 b,923,15.3,Gas Giant,2002,1.39,Jupiter,1.363,Jupiter,0.02383,0.003285421,0.67,Transit,2
1,HD 23596 b,170,7.26122,Gas Giant,2003,11.56265,Jupiter,1.11,Jupiter,2.692222,4.2,0.28,Radial Velocity,1
2,HD 3651 b,36,5.88437,Gas Giant,2003,0.228,Jupiter,0.899,Jupiter,0.295,0.17056811,0.65,Radial Velocity,1
3,HD 41004 B b,136,8.6078,Gas Giant,2003,18.37,Jupiter,1.08,Jupiter,0,0.003559206,0.08,Radial Velocity,1
4,HD 6434 b,138,7.72,Gas Giant,2003,0.49,Jupiter,1.27,Jupiter,0.14,0.060232718,0.17,Radial Velocity,1
5,HD 65216 b,115,7.97,Gas Giant,2003,1.295,Jupiter,1.22,Jupiter,1.301,1.6,0.27,Radial Velocity,1
6,HD 70642 b,95,7.17,Gas Giant,2003,1.993,Jupiter,1.19,Jupiter,3.318,5.8,0.18,Radial Velocity,1
7,HD 74156 b,188,7.61,Gas Giant,2003,1.67333,Jupiter,1.2,Jupiter,0.280148,0.1412731,0.64,Radial Velocity,1
8,HD 74156 c,188,7.61,Gas Giant,2003,9.10703,Jupiter,1.12,Jupiter,3.676463,6.7,0.38,Radial Velocity,1
9,HD 82943 b,90,6.54993,Gas Giant,2003,1.681,Jupiter,1.2,Jupiter,1.18306,1.2087611,0.16,Radial Velocity,1
10,HD 82943 c,90,6.54993,Gas Giant,2003,1.959,Jupiter,1.2,Jupiter,0.74345,0.602601,0.37,Radial Velocity,1
11,PSR B1620-26 b,0,0,Gas Giant,2003,2.5,Jupiter,1.18,Jupiter,23,95,0,Pulsar Timing,3
1,2MASS J12073346-3932539 b,210,20.15,Gas Giant,2004,5,Jupiter,1.15,Jupiter,55,2885.9,0,Direct Imaging,4
